name
NEMESIS TRADING LTD.
CUNNINGSHILL LTD.
JAE HOLDINGS INC.
GUISBOROUGH PROPERTIES INC.
BOROUGHBRIDGE INC.
"PERFUMES INTERNACIONALES CO., LTD."
FIRST LEEDS PROPERTIES INC.
BALLYDEHOB INC.
TOBERMORE INC.
NORTH DALTON INC.
WHITBY INC.
HOLDERNESS INC.
KINGSTON PROPERTIES INC.
FRIDAYTHORPE INC.
CASTLE HOWARD INC.
DAVEST ENTERPRISES S.A.
REIGHTON INC.
REDCAR INC.
WITHERNESEA INC.
WHARFE INVESTMENTS INC.
SHERBURN PROPERTIES INC.
BLUEBIRD PROPERTIES INC.
"WINTERWOOD HOLDING, INC."
JANELLE HOLDING INC.
GRAMON HILL INVESTMENTS LTD.
COCHVAR LTD.
STRAWBERRY HILL LTD.
CORIAL LTD.
MILTON MANAGEMENT LIMITED
HARLEY BROTHERS INC.
AGAMENON INVESTMENTS LIMITED
BANWELL COMPANY LIMITED
EPIMENIDES INVESTMENTS LIMITED
STARLANE REAL ESTATE LIMITED
FRENZY BREAK LTD.
PINERMENT REAL ESTATE INVETSMENTS LTD.
FILEY HOLDINGS INC.
SANDSEND INC.
MANAGEMENT CONSULTING ENTERPRISE INC.
STRABANE INC.
CHERRY PROPERTIES INC.
INDUSTRIAL WORLDWIDE HOLDING CORPORATION
"INVESTMENT, SPORT & WEBS LLC."
THE GALLERY LIMITED
HDL DEVELOPMENT LIMITED
DECOL LIMITED
BLUEBAY INVESTMENTS LTD.
KEINES INVESTMENTS LIMITED
"UNION GROUP INVESTMENTS, INC."
PETERLEE INC.
MORICANBLE INC.
MITFORD PROPERTIES INC.
DUNS INC.
MAYDENCROFT INC.
BALINTORE INC.
FINCHALE INC.
CROSBY PROPERTIES INC.
CRAIL INTERNATIONAL INC.
CLACTON PROPERTIES INC.
GRANGE ASSOCIATES INC.
EMBLETON HOLDINGS INC.
AIRDRIE INC.
ALLONBY PROPERTIES INC.
FLETWOOD PROPERTIES INC.
LYNWARD INC.
ATALIA INC.
"BEAUMONT WORLDWIDE, INC."
CASTLENET CORPORATION
WHITTLE ENTERPRISES INC.
DEVONSHIRE PROPERTIES INC.
SELDON HOLDINGS LIMITED
COLORADO REAL ESTATE INVESTMENT LTD.
MELANTO INVESTMENTS LIMITED
